date,open,close,high,low,volume,code
2018-12-11,7642.16,7685.4,7685.4,7628.15,159567339.0,399001
2018-12-12,7721.82,7698.02,7737.24,7675.26,161508633.0,399001
2018-12-13,7717.47,7808.04,7849.66,7679.02,196499945.0,399001
2018-12-14,7785.29,7629.65,7792.74,7624.73,198374170.0,399001
2018-12-17,7599.01,7592.65,7618.68,7515.46,158891081.0,399001
2018-12-18,7540.96,7530.32,7609.39,7473.45,155100982.0,399001
2018-12-19,7541.5,7418.69,7548.72,7407.46,145332893.0,399001
2018-12-20,7402.2,7426.44,7445.05,7363.77,152721237.0,399001
2018-12-21,7399.15,7337.6,7405.27,7283.76,159820138.0,399001
2018-12-24,7315.26,7392.56,7393.71,7293.15,143034691.0,399001
2018-12-25,7308.61,7332.35,7362.07,7180.08,195489964.0,399001
2018-12-26,7323.99,7289.55,7369.84,7277.56,159524916.0,399001
2018-12-27,7402.6,7215.34,7415.92,7215.34,175911460.0,399001
2018-12-28,7229.87,7239.79,7282.5,7174.9,155838073.0,399001
2019-01-02,7259.49,7149.27,7266.47,7136.95,146826477.0,399001
2019-01-03,7134.15,7089.44,7217.83,7081.83,173151161.0,399001
2019-01-04,7022.12,7284.84,7284.84,7011.33,231616904.0,399001
2019-01-07,7333.32,7400.2,7409.38,7303.46,248688841.0,399001
2019-01-08,7381.61,7391.65,7412.19,7361.41,229393995.0,399001
2019-01-09,7425.64,7447.93,7552.2,7404.49,266767952.0,399001
2019-01-10,7442.7,7428.61,7491.69,7415.28,227413629.0,399001
2019-01-11,7441.18,7474.01,7490.17,7404.31,217105794.0,399001
2019-01-14,7473.88,7409.2,7488.36,7394.96,215934773.0,399001
2019-01-15,7403.79,7547.35,7549.66,7386.15,223110397.0,399001
2019-01-16,7545.35,7540.45,7586.66,7518.71,216076433.0,399001
2019-01-17,7534.04,7470.35,7545.81,7463.99,210238042.0,399001
2019-01-18,7486.95,7581.39,7584.76,7479.66,220630817.0,399001
2019-01-21,7591.19,7626.24,7661.62,7578.49,204896693.0,399001
2019-01-22,7615.8,7516.79,7615.8,7493.78,188464365.0,399001
2019-01-23,7493.07,7523.77,7542.65,7489.32,168488373.0,399001
2019-01-24,7537.5,7573.52,7604.99,7485.24,201968410.0,399001
2019-01-25,7581.29,7595.45,7657.03,7554.55,211919404.0,399001
2019-01-28,7641.29,7589.58,7704.85,7569.77,202423330.0,399001
2019-01-29,7575.43,7551.3,7578.13,7428.4,208909702.0,399001
2019-01-30,7518.03,7470.47,7580.22,7470.36,163342152.0,399001
2019-01-31,7485.79,7479.22,7552.56,7428.86,206365251.0,399001
2019-02-01,7524.67,7684.0,7684.11,7517.83,180990265.0,399001
2019-02-11,7695.17,7919.05,7922.54,7695.17,211629262.0,399001
2019-02-12,7915.06,8010.07,8027.63,7903.9,258799232.0,399001
2019-02-13,8029.97,8171.21,8191.98,8016.78,318137977.0,399001
2019-02-14,8182.32,8219.96,8260.33,8141.1,310200209.0,399001
2019-02-15,8198.45,8125.63,8223.64,8117.51,307058614.0,399001
2019-02-18,8187.89,8446.92,8446.92,8187.89,396701096.0,399001
2019-02-19,8480.76,8440.87,8537.35,8350.86,437306242.0,399001
2019-02-20,8443.98,8473.43,8488.47,8372.96,365676247.0,399001
2019-02-21,8467.15,8451.71,8619.62,8416.17,431362358.0,399001
2019-02-22,8431.56,8651.2,8651.2,8393.86,416850503.0,399001
2019-02-25,8804.97,9134.58,9134.58,8785.42,643916664.0,399001
2019-02-26,9162.92,9089.04,9276.45,9036.75,689527158.0,399001
2019-02-27,9062.96,9005.77,9158.2,8901.72,550387136.0,399001
2019-02-28,9001.18,9031.93,9097.4,8970.65,421689421.0,399001
2019-03-01,9111.96,9167.65,9167.65,9005.49,399959292.0,399001
2019-03-04,9280.65,9384.42,9567.15,9260.73,606335325.0,399001
2019-03-05,9366.77,9595.74,9595.74,9328.0,563487474.0,399001
2019-03-06,9640.95,9700.49,9707.92,9518.71,692388124.0,399001
2019-03-07,9685.3,9678.11,9782.22,9546.56,685512478.0,399001
2019-03-08,9447.6,9363.72,9726.3,9346.73,709489784.0,399001
2019-03-11,9425.8,9704.33,9704.33,9370.38,558511387.0,399001
2019-03-12,9766.5,9841.24,9928.2,9683.07,663592429.0,399001
2019-03-13,9828.15,9592.05,9828.15,9534.33,615964538.0,399001
2019-03-14,9521.62,9417.93,9620.46,9323.06,482171917.0,399001
2019-03-15,9485.33,9550.54,9650.54,9452.91,422441792.0,399001
2019-03-18,9583.45,9843.43,9843.43,9510.66,439815282.0,399001
2019-03-19,9844.46,9839.74,9908.17,9774.75,431739482.0,399001
2019-03-20,9828.07,9800.6,9848.77,9642.67,451219889.0,399001
2019-03-21,9808.74,9869.8,9934.86,9771.86,515936101.0,399001
2019-03-22,9871.99,9879.22,9891.83,9692.25,467872483.0,399001
2019-03-25,9705.02,9701.7,9858.08,9680.94,460806698.0,399001
2019-03-26,9753.17,9513.0,9780.08,9487.1,448860524.0,399001
2019-03-27,9582.03,9609.44,9609.44,9446.35,376919235.0,399001
2019-03-28,9586.38,9546.51,9695.52,9537.61,365302249.0,399001
2019-03-29,9556.3,9906.86,9906.86,9554.07,435504934.0,399001
2019-04-01,9976.98,10267.7,10277.55,9976.98,539634778.0,399001
2019-04-02,10314.79,10260.36,10334.96,10220.81,557057587.0,399001
2019-04-03,10199.97,10340.51,10350.57,10166.67,491116591.0,399001
2019-04-04,10379.2,10415.8,10453.5,10309.53,514128386.0,399001
2019-04-08,10510.43,10351.87,10541.18,10226.25,544942099.0,399001
2019-04-09,10368.03,10436.62,10438.99,10304.73,440133411.0,399001
2019-04-10,10403.24,10435.08,10529.74,10328.61,474638394.0,399001
2019-04-11,10420.65,10158.4,10437.45,10149.38,444252114.0,399001
2019-04-12,10138.09,10132.34,10186.47,10053.81,370906208.0,399001
2019-04-15,10294.82,10053.76,10365.31,10048.83,403544068.0,399001
2019-04-16,9993.25,10287.64,10287.64,9928.28,411812459.0,399001
2019-04-17,10288.45,10344.43,10410.65,10257.56,453500765.0,399001
2019-04-18,10338.5,10287.67,10363.85,10267.31,422880573.0,399001
2019-04-19,10280.34,10418.24,10418.24,10208.61,409455000.0,399001
2019-04-22,10418.71,10224.31,10418.71,10192.52,437135586.0,399001
2019-04-23,10206.02,10124.66,10247.39,10091.92,399608695.0,399001
2019-04-24,10162.38,10236.27,10239.37,10023.91,370744422.0,399001
2019-04-25,10186.23,9907.62,10209.14,9902.02,430107686.0,399001
2019-04-26,9852.94,9780.82,9927.74,9774.75,339762932.0,399001
2019-04-29,9775.95,9622.49,9822.82,9597.09,353224069.0,399001
2019-04-30,9573.41,9674.53,9730.55,9573.39,263792927.0,399001
2019-05-06,9289.74,8943.52,9333.92,8893.15,355213411.0,399001
2019-05-07,9011.52,9089.46,9160.52,8928.57,296713598.0,399001
2019-05-08,8899.91,9002.53,9167.81,8873.44,289597255.0,399001
2019-05-09,8919.5,8877.31,9012.24,8860.17,244927948.0,399001
2019-05-10,8988.92,9235.39,9238.55,8820.59,346735347.0,399001
2019-05-13,9112.52,9103.36,9191.07,9059.32,268454269.0,399001
2019-05-14,8998.97,9038.36,9142.46,8996.92,258630922.0,399001
2019-05-15,9125.27,9259.03,9282.96,9123.9,288895917.0,399001
2019-05-16,9247.99,9293.32,9307.22,9211.75,310232475.0,399001
2019-05-17,9299.46,9000.19,9303.05,8964.37,349171165.0,399001
2019-05-20,8980.8,8916.11,8994.18,8792.84,274992473.0,399001
2019-05-21,8920.46,9087.52,9120.69,8892.15,287502697.0,399001
2019-05-22,9069.0,9041.22,9132.38,8986.53,281965205.0,399001
2019-05-23,8997.25,8809.54,8997.25,8789.41,278961831.0,399001
2019-05-24,8788.17,8776.77,8880.81,8745.6,228714097.0,399001
2019-05-27,8795.14,8979.83,9003.87,8732.98,270875537.0,399001
2019-05-28,8979.58,9035.69,9082.7,8946.7,276643363.0,399001
2019-05-29,8971.22,9010.36,9077.51,8956.72,248026463.0,399001
